daty;LPP;Santander;AmRest;AsBis;KGHM;Mbank;Orange;Pekao;Debica;Budimex;Bumech;CCC;CIECH;Comarch;Develia;Dom Developm;Enea;Eurocash;Orlen;Grenevia;Azoty;Handlowy;ING;InterCars;Kerner;Millenium;Neuca;Polenergia;CD Projekt;KETY;WIG;WIBOR3M
2012-09-30;12,4895569;0,829268;-1,4945652;18,5518493;17,3792054;3,5061083;-0,9077927;4,7873007;2,3237919;23,1733018;9,0361251;1,9006488;-1,2974089;7,6699836;26,5607559;17,2658909;-0,7807196;-1,5002475;16,5153349;4,6996362;10,7057531;12,5328287;-1,0016811;-3,056451;-4,4099488;10,5426085;-2,6341903;1,6038705;17,0778576;-0,5383203;5,2106182;-1,4028056
2012-10-31;15,8825889;2,4219667;8,2758621;0,7644055;5,447774;-4,6256183;-26,6820539;-2,8470255;5,0474382;-8,2221364;-11,6021461;5,7733247;16,5605766;-0,840028;-3,3495102;-2,3406138;-5,8227848;-1,0426153;-3,7357302;0,8545403;-4,0896044;5,6265289;3,4514965;-3,3160072;2,7680384;9,0193385;7,1236648;-8,5189655;1,1515643;12,9392489;-1,159973;-3,8617886
2012-11-30;10,3808189;1,4780726;13,5031847;3,7870187;11,1323749;4,9214922;-2,1584956;2,8584959;7,7512744;17,7299079;-14,2500402;20,4756541;5,4145472;-1,7598255;-0,8663586;10,0016472;1,300494;12,592428;4,3375002;2,7529485;4,2639845;5,4334569;2,3555483;-3,877651;1,7956545;1,4176319;0;3,10528;15,3679266;16,9646467;4,1225987;-5,0739958
2012-12-31;4,6219206;2,5818317;7,9685746;5,1106893;6,3344394;3,1566388;3,6423461;6,2258617;11,1186775;9,8029939;-9,7667025;3,4009748;-0,892201;5,3756387;2,6491692;6,4465409;0,8391307;-0,4537896;8,3171182;-1,6491981;7,4756674;0,3046522;2,1877422;0,5842475;-1,8363027;3,0321856;-1,545723;-4,0145228;1,9751748;-4,1064607;5,4334425;-8,4632517
2013-01-31;6,5932814;5,9481947;-9,4074844;7,637544;-0,5753672;-0,7666634;-1,8747983;-9,1262803;9,9129577;-4,501127;-5,4928259;-1,3710813;-5,4038691;17,2143046;11,0816793;5,2913605;-2,8662873;15,1027805;-1,0106174;-4,6098093;4,8252043;-2,6439734;-2,7477342;9,3033212;4,4205646;3,3928571;13,6078412;1,0122843;8,3855035;-1,0325099;-1,3072741;-3,892944
2013-02-28;-3,0518205;-6,9539151;1,1474469;20,8200741;-4,3521443;4,3324786;-43,3375263;5,373748;-1,5643486;10,6926578;19,6581562;-1,8034265;2,1371513;2,6683676;-19,2216083;-8,605507;1,4424837;5,3675096;9,4885908;3,734707;-0,1781473;-6,0641896;0,9050321;6,3354098;-6,601387;4,5959222;25,998343;-1,7261056;9,0791256;0,273977;-1,1951072;-5,5696203
2013-03-31;20,1620695;-9,1260355;-2,3255814;6,7949846;-12,6820624;1,3309927;-1,9096873;-2,1220408;1,4390841;2,3025732;18,5714229;0,1423324;5,8334879;-6,16161;15,2409034;-4,2547112;-4,1937347;0,2824859;-4,1926732;-0,6362508;2,3066147;1,2259002;1,6792164;3,0511521;-9,2182116;0,4181678;1,9025075;-0,3157207;-6,2758585;-1,9345;-2,4476689;-9,1152815
2013-04-30;13,2740891;8,9765669;-5,9233449;0,8535133;-6,2036215;1,0552178;5,474268;-3,4939224;-1,4186683;1,978349;-13,253043;3,1054667;-3,5288075;0,841847;0;4,7595583;-12,4312514;7,0655337;-4,661493;-1,9209745;7,999925;3,2987629;-0,769382;-4,8592222;-3,0424193;0,6235719;0,6194614;-14,4380939;9,7523958;0;-2,1825981;-9,1445428
2013-05-31;5,15613;3,6036183;-0,1358025;16,3727613;0,2045456;17,2963032;15,6533781;9,725533;-0,9260794;20,1763222;-3,6110343;8,0767806;19,6448592;-0,5957699;14,8591776;31,1924053;13,88626;15,3446401;8,1593874;18,4808917;23,5767133;5,6886732;4,3271517;16,1265073;0,1737456;6,6257773;2,9243266;2,0593116;16,5796046;8,8779281;8,2517666;-11,038961
2013-06-30;-2,674852;-10,2275895;-1,1002596;15,8247222;-18,401137;-2,7796232;0,5253814;-5,0236727;-1,3609679;7,4304166;-18,2997852;7,737883;-7,6358896;-2,7668737;7,9188548;-2,2738864;-10,5990783;-9,3011857;-12,0773431;0,9192807;-1,6232625;-6,3891948;0,702674;8,3489529;-16,3748067;1,1643877;17,0225139;-3,8729312;5,2332934;-10,7676741;-6,3977916;-0,3649635
2013-07-31;6,4890988;12,6694712;10;13,659361;-0,2610146;12,7401941;-0,6535334;9,3511507;1,5538633;2,3396713;8,8183816;10,5860787;3,3043705;3,2239908;20,0110026;-2,6311438;4,7236775;1,3593;-3,670201;-0,3675589;-11,6217606;10,6899948;4,6379763;18,8086862;4,415513;19,0020855;7,1489422;7,3423541;15,6759803;12,7391053;4,8669666;-1,0989011
2013-08-31;12,2579759;-2,4856736;4,5454545;15,8609083;10,444689;2,3638656;0,6578325;6,0879064;27,4065533;-6,0718101;-9,2382066;4,3097891;0,3972282;0,2669302;-22,21776;8,7833535;6,5117405;-12,7709312;3,542808;-3,4672655;11,6224561;5,8995378;7,2211275;7,8528827;-5,4253919;7,2581178;13,4101902;19,0699366;15,6042345;13,8817919;4,147689;0
2013-09-30;11,6456589;11,4791864;5,4347826;8,0729484;0,5827539;1,8308425;8,4972077;2,5895452;1,1241029;17,3089073;7,857059;16,6019246;-6,4518244;4,8397191;-1,4343971;-7,5604794;-1,7348485;-7,2827288;-1,8658557;3,5918028;1,368514;8,4999728;5,4606782;4,2097748;4,003239;7,519191;7,7291581;3,3795935;20,1291804;7,1094192;2,925746;-1,1111111
2013-10-31;4,0460415;9,5633539;12,8865979;4,6646198;1,0057471;13,3111597;20,2440517;8,1169898;18,1084128;22,6543302;-1,8211357;15,3511263;27,3447404;17,17032;34,765988;26,6221258;2,4670419;-1,6023934;-1,4709804;-2,3712139;10,1345753;7,0298282;0,8893753;19,5271432;-15,8394161;7,1338456;33,8015184;-4,3161453;4,3049474;4,9614566;6,5723428;-0,3745318
2013-11-30;2,0001239;0,549249;-10,8675799;0,6359406;-4,8964549;9,2164953;3,70322;-2,4045018;7,2744793;1,8766261;-9,7808507;-8,3032491;3,3432726;3,9556567;-9,1236581;8,7673745;10,7591603;6,189286;10,1136738;-1,4950712;-9,8155451;1,0143002;7,9643594;6,6964379;2,2896791;-1,5670164;4,1138086;-7,4334523;8,066534;19,2196391;2,0463977;-0,3759398
2013-12-31;-1,9609034;-1,6674048;-7,7868852;-6,331395;-0,3865541;-10,2354953;-5,3132125;-4,7044267;2,2444762;-0,3493306;-33,0841041;-2,1743021;0,4842905;-7,6132817;-1,7776198;-2,2994892;-15,3182528;-5,1515372;-14,4040502;0,5670762;-14,967278;-12,5028623;-7,0832114;-9,6821141;-10,2933695;-4,5094281;-5,9444098;0,359459;4,721326;-3,3175857;-6,2528962;2,2641509
2014-01-31;-2,2222222;2,466241;-2;-9,7277539;-7,2017199;2,0016331;7,1431945;3,152437;-5,6314691;2,1242968;10,8940129;2,0579896;-0,1621247;-13,3099831;-2,4193217;9,8070361;-7,861383;-14,0247646;-5,3889468;-5,8460943;-15,9982408;-1,71344;5,4184296;7,5686461;0,0756144;12,7776196;-2,479202;-12,4990769;4,5561912;-1,823972;-0,8826102;0
2014-02-28;13,6363636;0,2529704;4,30839;-10,4773726;6,7708798;6,862081;-3,7108926;4,2360618;0,5980491;-5,0333788;21,9141603;10,5036745;8,8716029;-1,889873;9,8789028;-2,6788106;15,7147832;-3,0500506;12,6532819;-7,2160409;9,522563;11,4371248;10,586595;2,929659;-15,7505352;11,9459698;4,3544691;-0,6118918;-4,5806731;-5,4860468;5,861884;0
2014-03-31;-11,1199108;5,6144951;-2,0652174;-20,5682429;-6,8554728;-1,102574;2,3690955;1,8688902;-7,3264766;7,413264;-25,8264732;-0,3811841;-3,111131;6,6053584;3,3760292;-2,2189192;10,3528704;0,5985083;-1,0962637;-4,9644044;5,2178709;-1,3086626;0,2701729;-4,753393;-8,844961;-1,5404046;-13,5431918;21,1064878;-12,4543588;9,2546691;-2,6719853;0
2014-04-30;-11,7915187;6,1797135;-9,1897891;-17,6886067;0,5117565;-4,9994173;-0,0922788;-1,40075;-1,8443701;2,3993425;-8,0779377;-3,0611414;-0,8544571;-0,5012085;5,4309362;-12,7422315;-4,5067158;-0,0976324;4,8131507;-0,2297243;-0,9086461;-0,8831925;2,6315789;-5,5018305;-4,2059523;-0,670011;-3,3116944;-6,7489395;-2,1566064;-1,874813;-0,9178311;0,3690037
